Name,AffixName,AffixKind,Position,Stat,ValueKind,TopValue,Breadth,Ailment,Gem,HybridPart1,HybridPart2,AllowedSlots,NameWord,Percent,Floor
Stat_Flat_maximum_health,Flat maximum health,Stat,prefix,max_health,flat,120.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",,False,0.0
Stat_Increased_maximum_health,Increased maximum health,Stat,prefix,max_health,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",,False,0.0
Stat_Flat_maximum_mana,Flat maximum mana,Stat,prefix,max_mana,flat,38.0,0,,,,,"Belt, Chest, Head, Necklace, Relic, Ring",,False,0.0
Stat_Increased_maximum_mana,Increased maximum mana,Stat,prefix,max_mana,increased,12.0,0,,,,,"Belt, Chest, Head, Necklace, Relic, Ring",,False,0.0
Stat_Flat_maximum_energy_shield,Flat maximum energy shield,Stat,prefix,max_energy_shield,flat,50.0,0,,,,,"Chest, Head, Relic, Ring, Shoulders",,False,0.0
Stat_Increased_maximum_energy_shield,Increased maximum energy shield,Stat,prefix,max_energy_shield,increased,12.0,0,,,,,"Chest, Head, Relic, Ring, Shoulders",,False,0.0
Stat_Flat_armor,Flat armor,Stat,prefix,armor,flat,250.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",,False,0.0
Stat_Increased_armor,Increased armor,Stat,prefix,armor,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",,False,0.0
Stat_Flat_evasion,Flat evasion,Stat,prefix,evasion,flat,4.0,0,,,,,"Boots, Chest, Gloves, Head, Pants, Ring, Shoulders",,True,1.0
Stat_Increased_evasion,Increased evasion,Stat,prefix,evasion,increased,12.0,0,,,,,"Boots, Chest, Gloves, Head, Pants, Ring, Shoulders",,True,0.0
Stat_Flat_damage,Flat damage,Stat,prefix,attack_damage,flat,22.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",,False,0.0
Stat_Increased_damage,Increased damage,Stat,prefix,attack_damage,increased,125.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",,False,0.0
Stat_Increased_spell_damage,Increased spell damage,Stat,prefix,spell_damage,increased,125.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",,False,0.0
