Name,Attribute,Stat,PercentPerPoint
agility_movement_speed,agility,movement_speed,2.0
agility_evasion,agility,evasion,0.5
ferocity_crit_chance,ferocity,crit_chance,0.5
ferocity_crit_multiplier,ferocity,crit_multiplier,5.0
constitution_armor,constitution,armor,2.0
constitution_block_chance,constitution,block_chance,1.0
vitality_max_health,vitality,max_health,2.0
vitality_health_regen,vitality,health_regen,1.0
mind_max_mana,mind,max_mana,2.0
mind_mana_regen,mind,mana_regen,1.0
spirit_max_energy_shield,spirit,max_energy_shield,2.0
spirit_energy_shield_regen,spirit,energy_shield_regen,1.0
efficacy_cooldown_reduction,efficacy,cooldown_reduction,1.0
efficacy_area_of_effect,efficacy,area_of_effect,2.0
efficacy_dot_frequency,efficacy,dot_frequency,1.0
luck_magic_find,luck,magic_find,0.01
luck_loot_quantity,luck,loot_quantity,1.0
