Name,ClassName,Stat,Base,PerLevel
Default_max_health,Default,max_health,100.0,15.0
Default_max_mana,Default,max_mana,50.0,6.0
Default_class_resource,Default,class_resource,100.0,0.0
Default_health_regen,Default,health_regen,1.0,0.15
Default_mana_regen,Default,mana_regen,1.0,0.1
Default_crit_multiplier,Default,crit_multiplier,150.0,0.0
Default_area_of_effect,Default,area_of_effect,100.0,0.0
Default_dot_frequency,Default,dot_frequency,100.0,0.0
Default_movement_speed,Default,movement_speed,4.0,0.0
Default_loot_quantity,Default,loot_quantity,100.0,0.0
Ravager_max_health,Ravager,max_health,130.0,20.0
Ravager_max_mana,Ravager,max_mana,40.0,4.0
Ravager_life_leech,Ravager,life_leech,1.0,0.02
Ravager_armor,Ravager,armor,25.0,3.5
Ravager_damage_reduction,Ravager,damage_reduction,3.0,0.05
Ravager_crowd_control_resistance,Ravager,crowd_control_resistance,5.0,0.15
Ravager_movement_speed,Ravager,movement_speed,4.6,0.0
Ritualist_max_health,Ritualist,max_health,70.0,10.0
Ritualist_max_mana,Ritualist,max_mana,90.0,12.0
Ritualist_max_energy_shield,Ritualist,max_energy_shield,40.0,8.0
Ritualist_class_resource,Ritualist,class_resource,150.0,0.0
Ritualist_mana_regen,Ritualist,mana_regen,2.0,0.25
Ritualist_energy_shield_regen,Ritualist,energy_shield_regen,2.0,0.2
Ritualist_area_of_effect,Ritualist,area_of_effect,110.0,0.0
Ritualist_spell_damage,Ritualist,spell_damage,10.0,1.5
Ritualist_movement_speed,Ritualist,movement_speed,3.5,0.0
Masochist_max_health,Masochist,max_health,150.0,24.0
Masochist_health_regen,Masochist,health_regen,3.0,0.35
Masochist_armor,Masochist,armor,5.0,0.5
Masochist_retaliation,Masochist,retaliation,10.0,1.5
Masochist_crowd_control_resistance,Masochist,crowd_control_resistance,10.0,0.2
