Name,CataclysmType,ModifierName,Weight,Description
Celestial_Edict_of_Silence,Celestial,Edict of Silence,20.0,"Every 90 seconds, a divine silence sweeps the dungeon for 15 seconds, preventing all skill usage. Only basic attacks function during this period."
Celestial_Forced_Tithes,Celestial,Forced Tithes,15.0,"At the end of each floor, players must pay a tithe (e.g., currency, consumables, health) to progress. Refusing or offering too little summons a horde of angels that attack with relentless zeal."
Celestial_Eternal_Chorus,Celestial,Eternal Chorus,15.0,"Certain areas resonate with a haunting celestial hymn. While within earshot of the chorus, all cooldowns are increased, and resource regeneration is halved. Players must destroy the source of the hymn to silence it."
Celestial_Angelic_Wardens,Celestial,Angelic Wardens,10.0,"Massive angelic statues are scattered throughout the dungeon. When players trigger certain traps or violate ""divine laws,"" these statues animate and relentlessly hunt them for the rest of the floor."
Celestial_Divine_Resurgence,Celestial,Divine Resurgence,15.0,"Once per floor, all defeated enemies on that floor resurrect at half health in a sudden holy revival."
Celestial_Divine_Wrath,Celestial,Divine Wrath,10.0,Players are periodically targeted by massive beams of radiant light that chase them across the floor. These beams destroy enemies in their path but deal devastating damage to players if they fail to avoid them.
Celestial_Golden_Spires,Celestial,Golden Spires,5.0,Floors feature radiant towers that heal enemies and buff their damage. These spires must be destroyed to progress effectively.
Celestial_Hallowed_Groundfall,Celestial,Hallowed Groundfall,10.0,"Angelic artillery bombards random areas every 30 seconds, leaving consecrated craters that burn players and empower enemies."
Celestial_Heaven_s_Quake,Celestial,Heaven’s Quake,10.0,"Radiant pillars crash through the ceiling, creating impassable terrain and forcing reroutes mid-combat."
Celestial_Holy_Repercussions,Celestial,Holy Repercussions,15.0,"Enemies have a chance to retaliate with radiant bursts upon being hit, dealing damage in an area and inflicting ""Judgment"" (a stacking debuff that increases holy damage taken)."
Celestial_Lightforged_Walls,Celestial,Lightforged Walls,10.0,"Radiant barriers seal sections until all enemies in the area are slain, forcing full clears."
Celestial_Trial_of_Endurance,Celestial,Trial of Endurance,10.0,"A divine timer per floor; if it expires before the floor is cleared, all enemies gain doubled damage and resistances."
Celestial_Judgment_Zones,Celestial,Judgment Zones,5.0,Radiant zones spawn for 20 seconds; standing inside ramps holy damage to players but increases boss loot quality if triggered 5+ times.
Celestial_Sanctioned_Passage,Celestial,Sanctioned Passage,15.0,Divine gates require a 10s channel to open; enemies surge toward the gate during the unlock.
Celestial_Wings_of_the_Host,Celestial,Wings of the Host,5.0,Angelic flyovers carpet-bomb the map with radiant feathers that pierce terrain and deal % max HP damage.
Chaos_Fragmented_Reality,Chaos,Fragmented Reality,20.0,"Certain sections of the dungeon are ""Fragmented."" When you enter one, your stats are randomly scrambled. For example, your power might be increased but your defenses are halved, or your health is doubled but you can no longer use skills."
Chaos_Unstable_Portal,Chaos,Unstable Portal,15.0,"The only way to get to the next floor is through a series of unstable portals. Stepping through a portal has a 50% chance of taking you to the next floor, a 25% chance of returning you to the beginning of the current floor, and a 25% chance of spawning a powerful, unpredictable mini-boss."
Chaos_Reality_Twister,Chaos,Reality Twister,20.0,"Every 30 seconds, a random modifier is added to the entire dungeon. The modifier can be anything from increased enemy damage to reduced player movement speed, or even a beneficial one like increased magic find. The modifiers are permanent for the duration of the dungeon."
