Name,Enchantment,Stat,ValueKind,ValueLow,ValueHigh,RequiredTags,Condition,ConditionValue,Scale,ScaleStep,Action,ActionEvent,FractionOf,ScaleMaxSteps,StackSeconds,ScaleOffset,EverySeconds,EveryNth,ScaleStepHigh
Positive_Double_your_energy_shield#1,Positive_Double_your_energy_shield,max_energy_shield,more,100.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Double_your_life_leech#1,Positive_Double_your_life_leech,life_leech,more,100.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Retaliation_damage_applies_to_all_enemies_within#1,Positive_Retaliation_damage_applies_to_all_enemies_within,retaliation_radius_metres,flat,3.0,3.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Increase_your_auras_AOE_by_100#1,Positive_Increase_your_auras_AOE_by_100,area_of_effect,increased,100.0,100.0,Slot.Aura,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_retaliation_damage_is_tripled_while_below_3#1,Positive_Your_retaliation_damage_is_tripled_while_below_3,retaliation,more,200.0,200.0,,health_below,30.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_DoTs_deal_double_damage_to_you#1,Negative_DoTs_deal_double_damage_to_you,damage_over_time_taken,more,100.0,100.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Negative_You_have_20_less_hp#1,Negative_You_have_20_less_hp,max_health,more,-20.0,-20.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Additional_100_300_crit_multiplier#1,Positive_Additional_100_300_crit_multiplier,crit_multiplier,flat,100.0,300.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_evasiveness_is_increased_by_200_500#1,Positive_Your_evasiveness_is_increased_by_200_500,evasion,increased,200.0,500.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Gain_10_30_increased_health#1,Positive_Gain_10_30_increased_health,max_health,increased,10.0,30.0,,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_ultimate_ability_deals_40_80_increased_da#1,Positive_Your_ultimate_ability_deals_40_80_increased_da,attack_damage,increased,40.0,80.0,Slot.Ultimate,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_ultimate_ability_deals_40_80_increased_da#2,Positive_Your_ultimate_ability_deals_40_80_increased_da,spell_damage,increased,40.0,80.0,Slot.Ultimate,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
Positive_Your_heavy_attack_deals_30_60_increased_damage#1,Positive_Your_heavy_attack_deals_30_60_increased_damage,attack_damage,increased,30.0,60.0,Slot.Heavy,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0
