Name,Effect,EnchantmentType,Weight,Tags,IsNegative
Negative_Can_t_use_a_basic_attack,Can’t use a basic attack,Generic,1.0,Scope.BasicOnly,True
Negative_80_99_of_your_health_is_reserved,80%-99% of your health is reserved,Generic,1.0,Stat.Defense.Life,True
Negative_You_lose_1_4_max_resistances_for_every_100_000,"You lose 1-4% max resistances for every 100,000 - 500,000 kills",Generic,1.0,Stat.Defense.Resist,True
Negative_Ultimate_cooldowns_increased_by_100_500,Ultimate cooldowns increased by 100%-500%,Generic,1.0,"Slot.Ultimate, Slot.Ultimate",True
Negative_You_have_no_armor,You have no armor,Generic,1.0,Stat.Defense.Armor,True
Negative_DoTs_deal_double_damage_to_you,DoTs deal double damage to you,Generic,1.0,Keyword.DoT.Generic,True
Negative_You_lose_15_of_your_max_hp_every_5_seconds,You lose 15% of your max hp every 5 seconds,Generic,1.0,Stat.Defense.Life,True
Negative_Your_spells_mana_costs_are_quadrupled,Your spells mana costs are quadrupled,Generic,1.0,"Type.Spell, Stat.Resource.Mana",True
Negative_You_no_longer_regenerate_mana,You no longer regenerate mana,Generic,1.0,Stat.Resource.Mana,True
Negative_You_have_no_resistances,You have no resistances.,Generic,1.0,Stat.Defense.Resist,True
Negative_You_have_20_less_hp,You have 20% less hp.,Generic,1.0,Stat.Defense.Life,True
Negative_All_damage_dealt_is_reduced_by_15_25_for_each,All damage dealt is reduced by 15%-25% for each second you stand still,Generic,1.0,Stat.Offense.Global,True
Negative_You_take_20_35_more_damage,You take 20%-35% more damage,Generic,1.0,Stat.Defense.Global,True
Negative_Channel_skills_drain_8_15_of_your_maximum_HP_p,Channel skills drain 8%-15% of your maximum HP per second while active,Generic,1.0,"Type.Channel, Stat.Defense.Life",True
Negative_You_can_only_have_1_persistent_AOE_effect_active,You can only have 1 persistent AOE effect active at a time,Generic,1.0,Type.AOE.Persistent,True
Negative_Kills_no_longer_generate_any_experience,Kills no longer generate any experience,Generic,1.0,Trigger.OnKill,True
Negative_Using_your_ultimate_ability_drains_20_40_of_yo,Using your ultimate ability drains 20%-40% of your maximum HP,Generic,1.0,"Slot.Ultimate, Stat.Defense.Life",True
Negative_You_cannot_heal_above_60_of_your_maximum_HP,You cannot heal above 60% of your maximum HP,Generic,1.0,Stat.Defense.Life,True
