Name,Effect,EnchantmentType,Weight,Tags,IsNegative
Positive_This_weapon_has_5_20_more_damage_for_every_100,"This weapon has 5-20% more damage for every 100,000-500,000 kills",Generic,1.0,"Item.Slot.Weapon, Trigger.Progression, Stat.Offense.Global",False
Positive_Ultimate_has_1_3_additional_charges,Ultimate has 1-3 additional charges,Generic,1.0,Slot.Ultimate,False
Positive_Additional_100_300_crit_multiplier,Additional 100%-300% crit multiplier,Generic,1.0,Stat.Offense.Crit,False
Positive_Deal_30_50_more_damage_to_Boss_enemies,Deal 30%-50% more damage to Boss enemies,Generic,1.0,"Scope.BossOnly, Stat.Offense.Global",False
Positive_Gain_5_10_class_points,Gain 5-10 class points,Generic,1.0,Stat.Progression.ClassPoints,False
Positive_You_have_10_maximum_resists,You have +10 maximum resists,Generic,1.0,Stat.Defense.Resist,False
Positive_Double_your_energy_shield,Double your energy shield,Generic,1.0,Stat.Defense.EnergyShield,False
Positive_Double_your_life_leech,Double your life leech,Generic,1.0,Stat.Recovery.Leech,False
Positive_Your_skills_deal_10_30_of_your_current_mana_as,Your skills deal 10%-30% of your current mana as more damage,Generic,1.0,Stat.Resource.Mana,False
Positive_Your_evasiveness_is_increased_by_200_500,Your evasiveness is increased by 200%-500%,Generic,1.0,Stat.Defense.Evasion,False
Positive_Nearby_enemies_deal_10_30_less_damage_to_you,Nearby enemies deal 10%-30% less damage to you,Generic,1.0,Stat.Defense.Global,False
Positive_Gain_1_3_additional_charges_for_your_cooldown_ab,Gain 1-3 additional charges for your cooldown abilities,Generic,1.0,Scope.Global,False
Positive_Your_spells_echo_1_time,Your spells echo +1 time,Generic,1.0,Type.Spell,False
Positive_Gain_10_30_increased_health,Gain 10%-30% increased health,Generic,1.0,Stat.Defense.Life,False
Positive_Your_abilities_are_free_when_above_80_95_hp,Your abilities are free when above 80%-95% hp,Generic,1.0,"Stat.Defense.Life, Scope.Global",False
Positive_Traps_do_not_expire_they_remain_armed_until_tr,Traps do not expire — they remain armed until triggered,Generic,1.0,Type.Trap,False
Positive_When_a_trap_triggers_it_releases_a_shockwave_tha,When a trap triggers it releases a shockwave that arms all traps within 15 meters instantly,Generic,1.0,Type.Trap,False
Positive_Traps_deal_100_200_increased_damage_to_the_fir,Traps deal 100%-200% increased damage to the first enemy that triggers them,Generic,1.0,Type.Trap,False
Positive_Your_gadgets_are_invincible_but_lose_5_of_their,Your gadgets are invincible but lose 5% of their maximum HP per second passively,Generic,1.0,Type.Deployable,False
Positive_Gadgets_copy_the_last_skill_you_used_and_fire_it,Gadgets copy the last skill you used and fire it at their target once every 2 seconds,Generic,1.0,Type.Deployable,False
Positive_Each_gadget_on_the_battlefield_doubles_the_damag,Each gadget on the battlefield doubles the damage of all your traps,Generic,1.0,"Type.Deployable, Type.Trap",False
Positive_For_every_3_traps_triggered_your_nearest_gadget,"For every 3 traps triggered, your nearest gadget fires a massive overcharged shot dealing 200%-400% of its normal damage",Generic,1.0,"Type.Trap, Type.Deployable",False
Positive_Your_ultimate_ability_is_converted_into_a_placea,"Your ultimate ability is converted into a placeable trap. When triggered, it fires your ultimate ability centered on the triggering enemy. Scales off trap damage. All placed copies share the ultimate cooldown.",Generic,1.0,"Type.Trap, Slot.Ultimate",False
Positive_Your_ultimate_ability_is_converted_into_a_deploy,"Your ultimate ability is converted into a deployable gadget that fires your ultimate ability once per ultimate cooldown, targeting the nearest enemy within range. Scales off gadget damage.",Generic,1.0,"Type.Deployable, Slot.Ultimate",False
Positive_Your_ultimate_ability_deals_40_80_increased_da,Your ultimate ability deals 40%-80% increased damage,Generic,1.0,Slot.Ultimate,False
Positive_Your_ultimate_ability_applies_its_effect_twice,Your ultimate ability applies its effect twice,Generic,1.0,Slot.Ultimate,False
Positive_Using_your_ultimate_ability_resets_all_other_ski,Using your ultimate ability resets all other skill cooldowns,Generic,1.0,Slot.Ultimate,False
Positive_While_below_50_HP_all_skills_cost_HP_instead_o,"While below 50% HP, all skills cost HP instead of mana and cost 50% less",Generic,1.0,"Stat.Resource.HP, Stat.Defense.Life, Trigger.LowLife",False
Positive_Enemies_killed_by_necrosis_rise_as_temporary_min,Enemies killed by necrosis rise as temporary minions for 5-10 seconds,Generic,1.0,"Keyword.DoT.Necrosis, Type.Minion, Trigger.OnDeath",False
Positive_Retaliation_damage_cannot_be_reduced_or_mitigate,Retaliation damage cannot be reduced or mitigated by the attacker,Generic,1.0,Stat.Defense.Retaliation,False
Positive_Your_retaliation_damage_scales_with_your_current,Your retaliation damage scales with your current HP percentage — the lower your HP the higher the retaliation,Generic,1.0,"Stat.Defense.Retaliation, Stat.Defense.Life, Trigger.LowLife",False
Positive_While_below_50_HP_your_skills_cost_no_mana,While below 50% HP your skills cost no mana,Generic,1.0,"Trigger.LowLife, Stat.Resource.Mana",False
Positive_Every_30_seconds_your_next_skill_is_cast_at_300,Every 30 seconds your next skill is cast at 300%-500% effectiveness,Generic,1.0,"Trigger.Timer, Stat.Offense.Global",False
Positive_For_every_unique_Cataclysm_boss_defeated_gain_5,"For every unique Cataclysm boss defeated, gain 5%-10% more damage permanently",Generic,1.0,"Trigger.Progression, Stat.Offense.Global",False
Positive_Deal_40_80_increased_damage_to_Boss_enemies,Deal 40%-80% increased damage to Boss enemies,Generic,1.0,"Scope.BossOnly, Stat.Offense.Global",False
Positive_You_take_20_40_less_damage_from_Boss_enemies,You take 20%-40% less damage from Boss enemies,Generic,1.0,"Scope.BossOnly, Stat.Defense.Global",False
