Name,CataclysmType,ModifierName,Description
Demonic_Hellfire_Aura,Demonic,Hellfire Aura,Emits a burning aura that deals constant fire damage to nearby players
Demonic_Beguiling,Demonic,Beguiling,"When taking damage from a player, charm them for 2 seconds. Players cannot deal direct damage to you while charmed."
Demonic_Infernal_Sacrifice,Demonic,Infernal Sacrifice,Sacrifice nearby allies to heal yourself and gain temporary damage buffs.
Demonic_Unholy_Sigils,Demonic,Unholy Sigils,Create a large demonic sigil on the ground. Allies in this sigil cannot be killed.
Demonic_Abyssal_Aura,Demonic,Abyssal Aura,This enemy is surrounded by an aura of pure demonic energy. Players within the aura's radius will have their Demonic resistance reduced by 25%.
Demonic_Sacrificial_Bond,Demonic,Sacrificial Bond,All damage taken is redirected and divided among nearby allies.
Demonic_Inferno_Charge,Demonic,Inferno Charge,"Channel for 2 seconds, then dash towards the player at rapid speeds. Deals AoE damage on hit and leave a lingering DoT over the path traveled."
Demonic_Infernal_Brand,Demonic,Infernal Brand,"Apply a stacking ""Infernal Brand"" debuff on hit to the player. When the brand reaches 5 stacks, it explodes, dealing a large amount of damage to the player and consuming all stacks."
Death_Haunting,Death,Haunting,A spectral copy of this enemy is created on death
Death_Grave_Touch,Death,Grave Touch,Deal more damage to players with less than 50% health.
Death_Undying_Will,Death,Undying Will,Enemies resurrect after death with reduced health but increased damage output.
Death_Soul_Eater,Death,Soul Eater,Completely ignores player energy shields.
Death_Shadow_Step,Death,Shadow Step,Become invisible when not attacking.
Death_Spectral_Shift,Death,Spectral Shift,"Phase in and out of existence, becoming immune to damage."
Death_Lingering_Decay,Death,Lingering Decay,Enemies leave behind necrotic zones that reduce healing to players standing in them.
Death_Final_Curse,Death,Final Curse,"Upon death, curse the player for 5 seconds, causing them to take damage when using abilities."
Death_Funeral_Pyre,Death,Funeral Pyre,Summon deadly bone pyres when hit that explode if not destroyed quickly.
Death_Soul_Tether,Death,Soul Tether,Transfer a portion damage taken to the player as health degeneration over time.
