Name,BaseName,Slot,Hands,SubType,WeaponType,MaxDamageTypes,AttackSpeed,BasicShape,BasicShapeParams,CellsWide,CellsHigh,Implicit1Stat,Implicit1Kind,Implicit1Value,Implicit2Stat,Implicit2Kind,Implicit2Value
Head_Helm,Helm,Head,0,,,0,0.0,,,2,2,armor,flat,200.0,,,0.0
Head_Hood,Hood,Head,0,,,0,0.0,,,2,2,evasion,flat,4.0,,,0.0
Head_Circlet,Circlet,Head,0,,,0,0.0,,,2,2,max_energy_shield,flat,55.0,,,0.0
Head_Visage,Visage,Head,0,,,0,0.0,,,2,2,max_health,flat,70.0,crowd_control_resistance,flat,4.0
Chest_Cuirass,Cuirass,Chest,0,,,0,0.0,,,2,3,armor,flat,440.0,,,0.0
Chest_Jerkin,Jerkin,Chest,0,,,0,0.0,,,2,3,evasion,flat,8.0,,,0.0
Chest_Vestment,Vestment,Chest,0,,,0,0.0,,,2,3,max_energy_shield,flat,120.0,,,0.0
Chest_Hauberk,Hauberk,Chest,0,,,0,0.0,,,2,3,max_health,flat,180.0,,,0.0
Chest_Carapace,Carapace,Chest,0,,,0,0.0,,,2,3,armor,flat,220.0,max_health,flat,90.0
Shoulders_Pauldrons,Pauldrons,Shoulders,0,,,0,0.0,,,2,2,armor,flat,165.0,,,0.0
Shoulders_Mantle,Mantle,Shoulders,0,,,0,0.0,,,2,2,evasion,flat,3.5,,,0.0
Shoulders_Epaulets,Epaulets,Shoulders,0,,,0,0.0,,,2,2,health_regen,flat,1.1,,,0.0
Shoulders_Spaulders,Spaulders,Shoulders,0,,,0,0.0,,,2,2,retaliation,flat,11.0,,,0.0
Gloves_Gauntlets,Gauntlets,Gloves,0,,,0,0.0,,,2,2,armor,flat,130.0,,,0.0
Gloves_Grips,Grips,Gloves,0,,,0,0.0,,,2,2,attack_speed,increased,9.0,,,0.0
Gloves_Handwraps,Handwraps,Gloves,0,,,0,0.0,,,2,2,crit_chance,flat,5.0,,,0.0
Gloves_Vambraces,Vambraces,Gloves,0,,,0,0.0,,,2,2,attack_damage,flat,12.0,,,0.0
Pants_Greaves,Greaves,Pants,0,,,0,0.0,,,2,2,armor,flat,250.0,,,0.0
Pants_Leggings,Leggings,Pants,0,,,0,0.0,,,2,2,evasion,flat,5.0,,,0.0
Pants_Kilt,Kilt,Pants,0,,,0,0.0,,,2,2,max_health,flat,130.0,,,0.0
Pants_Trousers,Trousers,Pants,0,,,0,0.0,,,2,2,max_energy_shield,flat,65.0,,,0.0
Boots_Sabatons,Sabatons,Boots,0,,,0,0.0,,,2,2,armor,flat,145.0,movement_speed,increased,5.0
Boots_Treads,Treads,Boots,0,,,0,0.0,,,2,2,movement_speed,increased,12.0,,,0.0
Boots_Striders,Striders,Boots,0,,,0,0.0,,,2,2,evasion,flat,3.0,movement_speed,increased,8.0
Boots_Sollerets,Sollerets,Boots,0,,,0,0.0,,,2,2,max_health,flat,80.0,movement_speed,increased,6.0
Belt_Girdle,Girdle,Belt,0,,,0,0.0,,,2,1,max_health,flat,130.0,,,0.0
Belt_Sash,Sash,Belt,0,,,0,0.0,,,2,1,max_mana,flat,60.0,,,0.0
Belt_Cord,Cord,Belt,0,,,0,0.0,,,2,1,health_regen,flat,1.3,,,0.0
Belt_Cinch,Cinch,Belt,0,,,0,0.0,,,2,1,armor,flat,150.0,,,0.0
Ring_Band,Band,Ring,0,,,0,0.0,,,1,1,attack_damage,flat,10.0,,,0.0
Ring_Signet,Signet,Ring,0,,,0,0.0,,,1,1,crit_multiplier,flat,16.0,,,0.0
Ring_Loop,Loop,Ring,0,,,0,0.0,,,1,1,max_health,flat,60.0,,,0.0
