Name,Tree,Source,Target,RequiredPoints
Berserker_e_trunk_000_trunk_001,Berserker,Berserker_trunk_000,Berserker_trunk_001,1
Berserker_e_trunk_000_trunk_002,Berserker,Berserker_trunk_000,Berserker_trunk_002,1
Berserker_e_trunk_000_trunk_003,Berserker,Berserker_trunk_000,Berserker_trunk_003,1
Berserker_e_trunk_001_trunk_004,Berserker,Berserker_trunk_001,Berserker_trunk_004,2
Berserker_e_trunk_003_trunk_005,Berserker,Berserker_trunk_003,Berserker_trunk_005,2
Berserker_e_trunk_004_trunk_007,Berserker,Berserker_trunk_004,Berserker_trunk_007,2
Berserker_e_trunk_004_trunk_008,Berserker,Berserker_trunk_004,Berserker_trunk_008,2
Berserker_e_trunk_005_trunk_009,Berserker,Berserker_trunk_005,Berserker_trunk_009,2
Berserker_e_trunk_007_trunk_010,Berserker,Berserker_trunk_007,Berserker_trunk_010,2
Berserker_e_trunk_008_trunk_011,Berserker,Berserker_trunk_008,Berserker_trunk_011,8
Berserker_e_trunk_009_trunk_012,Berserker,Berserker_trunk_009,Berserker_trunk_012,10
Berserker_e_twoh_001_twoh_002,Berserker,Berserker_twoh_001,Berserker_twoh_002,1
Berserker_e_twoh_001_twoh_003,Berserker,Berserker_twoh_001,Berserker_twoh_003,1
Berserker_e_twoh_002_twoh_004,Berserker,Berserker_twoh_002,Berserker_twoh_004,2
Berserker_e_twoh_003_twoh_005,Berserker,Berserker_twoh_003,Berserker_twoh_005,2
Berserker_e_twoh_004_twoh_006,Berserker,Berserker_twoh_004,Berserker_twoh_006,2
Berserker_e_twoh_005_twoh_007,Berserker,Berserker_twoh_005,Berserker_twoh_007,2
Berserker_e_twoh_006_twoh_008,Berserker,Berserker_twoh_006,Berserker_twoh_008,6
Berserker_e_twoh_007_twoh_009,Berserker,Berserker_twoh_007,Berserker_twoh_009,2
Berserker_e_twoh_007_twoh_010,Berserker,Berserker_twoh_007,Berserker_twoh_010,2
