Name,Tree,NodeId,Kind,NodeName,Description,MaxPoints,Threshold,PositionX,PositionY,Option1Name,Option1Description,Option2Name,Option2Description,Option3Name,Option3Description
Berserker_trunk_000,Berserker,trunk_000,basic,Fury,Unlocks the Fury resource. Gain 1 Fury per critical strike. Fury begins decaying at 10 Fury/s after 3 seconds out of combat. Base of 100 Fury.,1,0,0.0,770.0,,,,,,
Berserker_trunk_001,Berserker,trunk_001,basic,Battle Lust,+1 Fury gained per point on every critical melee strike.,8,0,0.0,650.0,,,,,,
Berserker_trunk_002,Berserker,trunk_002,basic,Bloodthirst,+0.3% life leech per point on all melee attacks.,8,0,-160.0,650.0,,,,,,
Berserker_trunk_003,Berserker,trunk_003,basic,Killing Edge,+3% critical strike chance per point on melee attacks.,8,0,160.0,650.0,,,,,,
Berserker_trunk_004,Berserker,trunk_004,basic,Unbridled,+10 maximum Fury per point. At 5 points: Every 20 points of maximum Fury you have also grants 1% damage reduction.,8,0,0.0,530.0,,,,,,
Berserker_trunk_005,Berserker,trunk_005,basic,Savage Blows,+5% critical strike multiplier per point on melee attacks.,8,0,160.0,530.0,,,,,,
Berserker_trunk_006,Berserker,trunk_006,keystone,Open Wounds,"Life leech can overheal you up to 30% above your maximum HP. Bonus HP from overleech decays at 1% per second when you are not leeching. While you have any overleech HP, incoming damage removes overleech before your actual HP.",1,0,0.0,-430.0,,,,,,
Berserker_trunk_007,Berserker,trunk_007,basic,Battle Cry,Reduce your passive Fury loss by 0.2 per point.,10,0,0.0,410.0,,,,,,
Berserker_trunk_008,Berserker,trunk_008,basic,Blood Price,"When your Fury reaches 0 for any reason, your next melee attack within 3 seconds deals bonus damage equal to 5% per point of your maximum Fury.",8,0,-160.0,410.0,,,,,,
Berserker_trunk_009,Berserker,trunk_009,basic,Berserking,When you reach maximum Fury your next melee attack consumes all Fury. For each point of Fury consumed that attack deals +10% bonus damage per point invested.,10,0,160.0,410.0,,,,,,
Berserker_trunk_010,Berserker,trunk_010,basic,War Cry,+2% melee damage per point for 4 seconds after attacking at maximum Fury.,6,0,0.0,290.0,,,,,,
Berserker_trunk_011,Berserker,trunk_011,keystone,Thick Skin,"You gain 1% damage reduction for every 4% of your maximum Fury you currently hold, up to 25% at maximum Fury.",1,0,-160.0,290.0,,,,,,
Berserker_trunk_012,Berserker,trunk_012,keystone,Bloodied,While below 30% HP your Fury generation is tripled and Berserking triggers on every melee hit rather than only when Fury is full.,1,0,160.0,290.0,,,,,,
