Name,EffectKind,EffectName,Description,DurationSeconds,PercentOfHit
Buff_Mana_Surge,Buff,Mana Surge,Increases spell damage by 1% for 5 seconds for every 100 maximum mana.,0.0,0.0
Buff_Warhound,Buff,Warhound,A temporary minion that taunts enemies and deals damage.,0.0,0.0
Buff_Tactical_Advantage,Buff,Tactical Advantage,Increases movement speed and damage by 35% after using a movement ability.,0.0,0.0
Buff_Plague,Buff,Plague,"At 10 stacks, spreads all DoTs to nearby enemies.",0.0,0.0
Buff_Demonic_Rage,Buff,Demonic Rage,"When your health falls below 25%, you become immune to crowd control and deal 100% more damage for 10 seconds.",0.0,0.0
Buff_Sanctified_Power,Buff,Sanctified Power,"A stack gained every 10 seconds. When an attack is blocked, all of your skills are instantly refreshed.",0.0,0.0
Buff_Temporal_Flux,Buff,Temporal Flux,"A stack gained every 30 seconds. When a skill is used, it is cast a random number of times.",0.0,0.0
Buff_Void,Buff,Void,"At 10 stacks, your next ability costs no mana and deals 100% more damage.",0.0,0.0
Buff_Death,Buff,Death,"Every 10 seconds, when a skill is used, it has a 25% chance to instantly kill an enemy below 50% health.",0.0,0.0
Buff_Spellslinger,Buff,Spellslinger,Each stack reduces the mana cost of your abilities by 10%.,0.0,0.0
Buff_Dervish,Buff,Dervish,Increases your attack speed for melee attacks by 10% per stack.,0.0,0.0
Buff_Famished,Buff,Famished,Increases all of your leech by 5%.,0.0,0.0
Buff_Warzone_Control_Points,Buff,Warzone Control Points,Holding these provides strategic advantages.,0.0,0.0
Buff_Divine_Aegis,Buff,Divine Aegis,"Gain a divine shield when below 50% HP, reducing all damage taken by 75%.",0.0,0.0
Buff_Commander,Buff,Commander,All nearby allies gain 20% increased stats.,0.0,0.0
Buff_Chaotic_Barrier,Buff,Chaotic Barrier,Temporarily grants a random buff when attacked.,0.0,0.0
Buff_The_Ascended,Buff,The Ascended,A powerful buff granted to all nearby enemies when this enemy is killed.,0.0,0.0
Buff_Feasting,Buff,Feasting,"This enemy gains a stack of ""Feast"" every time it is hit, and for every stack, its attack speed is increased.",0.0,0.0
