Name,WeaponType,DamageType,Slot,SkillName,SkillDescription,Tags,Shape,ShapeParams,CritChancePercent,DamagePercent,Cooldown,ManaCost
Celestial_Sword_Support,Sword,Celestial,Support,,,"Item.Weapon.Sword, Element.Celestial, Slot.Support",,,-1.0,-1.0,-1.0,-1.0
Demonic_Sword_Support,Sword,Demonic,Support,Ashen Edge,"Hone the blade on your own fire for 10 seconds. While it lasts, consuming the burn from an enemy also sets alight everything within 4 meters of them, so the fire you spend is never wholly lost.","Item.Weapon.Sword, Element.Demonic, Type.Buff, Keyword.Consume, Keyword.DoT.Burn, Type.AOE.PointBlank, Slot.Support",SelfBuff,Duration=10; ConsumeRadius=4,-1.0,-1.0,-1.0,-1.0
Pestilence_Sword_Support,Sword,Pestilence,Support,,,"Item.Weapon.Sword, Element.Pestilence, Slot.Support",,,-1.0,-1.0,-1.0,-1.0
War_All_Aura,All,War,Aura,Blood and Iron,Emanate an aura of martial dominance in a 10 meter radius. Enemies within the aura have their armor reduced by 10% and their movement speed reduced by 15%. Allies within the aura deal 8% increased physical damage. Drains mana per second while active.,"Element.War, Type.AOE.Aura, Stat.Defense.Armor, Stat.Offense.Global, Stat.Utility.Movespeed, Stat.Resource.Mana, Slot.Aura",,,-1.0,-1.0,-1.0,-1.0
Death_Sword_Support,Sword,Death,Support,,,"Item.Weapon.Sword, Element.Death, Slot.Support",,,-1.0,-1.0,-1.0,-1.0
Chaos_Sword_Support,Sword,Chaos,Support,,,"Item.Weapon.Sword, Element.Chaos, Slot.Support",,,-1.0,-1.0,-1.0,-1.0
Famine_Sword_Support,Sword,Famine,Support,,,"Item.Weapon.Sword, Element.Famine, Slot.Support",,,-1.0,-1.0,-1.0,-1.0
Celestial_Sword_Heavy,Sword,Celestial,Heavy,,,"Item.Weapon.Sword, Element.Celestial, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Demonic_Sword_Heavy,Sword,Demonic,Heavy,Quench,"Draw a burning cut across everything in front of you. Any enemy already alight has their fire consumed and takes 50% more damage for it, and the whole arc is set alight anew behind the blade.","Item.Weapon.Sword, Element.Demonic, Type.Strike, Type.Melee, Keyword.Consume, Stat.Offense.Global, Keyword.DoT.Burn, Slot.Heavy",Strike,Radius=3; Angle=90; Burn=1; ConsumeBurn=1; MoreDamagePer=50; ScalingSource=Consume,-1.0,-1.0,-1.0,-1.0
Pestilence_Sword_Heavy,Sword,Pestilence,Heavy,,,"Item.Weapon.Sword, Element.Pestilence, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
War_Greataxe_Heavy,Greataxe,War,Heavy,Sundering Arc,"Swing your greataxe in a brutal horizontal arc that hits all enemies in a wide cone, dealing massive damage and applying a bleed to each target hit. Armored enemies take an additional 20% damage from this attack.","Item.Weapon.Greataxe, Element.War, Type.AOE.PointBlank, Type.Strike, Type.Melee, Keyword.DoT.Bleed, Stat.Defense.Armor, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Death_Sword_Heavy,Sword,Death,Heavy,,,"Item.Weapon.Sword, Element.Death, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
Chaos_Sword_Heavy,Sword,Chaos,Heavy,,,"Item.Weapon.Sword, Element.Chaos, Slot.Heavy",,,-1.0,-1.0,-1.0,-1.0
